iter	F1	Logloss
0	0.7969807721	0.6782496047
1	0.8240958828	0.6627447169
2	0.8137268435	0.6476155447
3	0.8108427846	0.6365358323
4	0.8195118503	0.6224804789
5	0.8140721055	0.6123688203
6	0.819168108	0.6006571988
7	0.7922954858	0.5901548797
8	0.786834203	0.5835254676
9	0.786256167	0.5757780487
10	0.7889766658	0.5673532767
11	0.789485228	0.5591855409
12	0.7916849963	0.5511453571
13	0.7906821703	0.5430178754
14	0.7962852441	0.5345020704
15	0.7940345122	0.5282756824
16	0.7940345122	0.5208630432
17	0.7929139109	0.5154366029
18	0.7929139109	0.5099825548
19	0.7945235879	0.5053808165
20	0.7938970574	0.5014772465
21	0.7927894838	0.4965493558
22	0.7916849963	0.4925429587
23	0.7883899217	0.488867019
24	0.7916849963	0.4837096783
25	0.7927894838	0.4810546319
26	0.789485228	0.4789486324
27	0.789485228	0.4749500064
28	0.7927894838	0.4710368518
29	0.7965958681	0.4674138015
30	0.7927894838	0.46454576
31	0.7916849963	0.4628929303
32	0.7916849963	0.4614420255
33	0.7889766658	0.4586266454
34	0.7889766658	0.4560854464
35	0.7889766658	0.4537622842
36	0.7900798454	0.4510531869
37	0.7911861145	0.4488640012
38	0.7900798454	0.4472172269
39	0.7911861145	0.4452620894
40	0.7911861145	0.4431290637
41	0.7911861145	0.4413961152
42	0.7911861145	0.4390460069
43	0.7895710045	0.4368832252
44	0.7922954858	0.4341960791
45	0.7895710045	0.4337452801
46	0.7895710045	0.4322793219
47	0.7895710045	0.431325967
48	0.7895710045	0.429765005
49	0.7895710045	0.4294070626
50	0.7906821703	0.4273740263
51	0.7906821703	0.4259169365
52	0.7906821703	0.4247381848
53	0.7906821703	0.4234535647
54	0.7934079726	0.4214421867
55	0.800395835	0.4205586066
56	0.800395835	0.4192921108
57	0.8030718581	0.4185143874
58	0.8030718581	0.4172719625
59	0.8041894006	0.4150709851
60	0.8064338424	0.4125854792
61	0.8053100577	0.4116746709
62	0.8064338424	0.4108654832
63	0.8117573927	0.4092104008
64	0.8095081834	0.408245963
65	0.8106312279	0.4069130033
66	0.8147798614	0.4059539752
67	0.8211326203	0.4043203686
68	0.8211326203	0.403612499
69	0.8170336656	0.4028147342
70	0.81816525	0.4018274617
71	0.8256740518	0.4011638042
72	0.8204378482	0.3996716529
73	0.8204378482	0.3986190133
74	0.8230617739	0.3981725713
75	0.8268172697	0.3973129347
76	0.8268172697	0.3968302604
77	0.8294190346	0.3962041653
78	0.8268172697	0.3951471466
79	0.8305664761	0.39444119
80	0.8305664761	0.3938850061
81	0.8345880978	0.3927068477
82	0.8268172697	0.3918639113
83	0.8268172697	0.3909160617
84	0.8291132291	0.3894660637
85	0.8343094092	0.3885989291
86	0.8343094092	0.3880528887
87	0.8317170969	0.3876083154
88	0.8317170969	0.3871222816
89	0.8317170969	0.3867675882
