iter	F1	Logloss
90	0.8317170969	0.3863373785
91	0.8368902427	0.3856812962
92	0.8368902427	0.3851529253
93	0.8368902427	0.3848634138
94	0.8368902427	0.3846593163
95	0.8394596736	0.3843226365
96	0.8406164993	0.3832228316
97	0.8392051233	0.382147487
98	0.8417765177	0.3813227294
99	0.8417765177	0.3805980178
100	0.8417765177	0.3802906827
101	0.8417765177	0.3799483502
102	0.8417765177	0.3794200365
103	0.8417765177	0.3786468148
104	0.8417765177	0.3773098402
105	0.844336545	0.3762692391
106	0.8482599599	0.375951068
107	0.8431755669	0.3757340961
108	0.8457233624	0.3751556587
109	0.8482599599	0.3745828886
110	0.8457233624	0.3743926576
111	0.8457233624	0.3743543453
112	0.8482599599	0.3740658887
113	0.8482599599	0.37373855
114	0.8482599599	0.3728957569
115	0.8494227983	0.3723800879
116	0.8494227983	0.3722643761
117	0.8519491727	0.3718329536
118	0.8519491727	0.3713132412
119	0.8507854332	0.3707199945
120	0.8532998554	0.3703564606
121	0.8532998554	0.3700122325
122	0.8532998554	0.3698521916
123	0.8532998554	0.3695933842
124	0.8532998554	0.36943592
125	0.8532998554	0.3690437749
126	0.8532998554	0.3684468289
127	0.8532998554	0.3678195936
128	0.8532998554	0.3676821239
129	0.8532998554	0.3674329297
130	0.8532998554	0.3668563105
131	0.854464477	0.3663346097
132	0.854464477	0.3655702778
133	0.854464477	0.3650162194
134	0.854464477	0.3641860338
135	0.854464477	0.3638370989
136	0.854464477	0.3635023502
137	0.854464477	0.3631225385
138	0.854464477	0.3626349798
139	0.854464477	0.3623226118
140	0.855632282	0.3618920473
141	0.855632282	0.3614060704
142	0.855632282	0.3611884151
143	0.855632282	0.360993794
144	0.855632282	0.3602707791
145	0.854464477	0.3596514534
146	0.854464477	0.3592963691
147	0.8581374473	0.3585881509
148	0.8581374473	0.3581327179
149	0.8581374473	0.3577206865
150	0.8581374473	0.3573738624
151	0.8593093028	0.3565181559
152	0.8618043592	0.355961563
153	0.8629802503	0.3557592019
154	0.8629802503	0.3555982723
155	0.8629802503	0.3553389447
156	0.8629802503	0.3551625424
157	0.8641593546	0.3540172012
158	0.8641593546	0.3534204042
159	0.8641593546	0.3530808284
160	0.8641593546	0.3527475527
161	0.8641593546	0.3522007485
162	0.8641593546	0.3514863727
163	0.8641593546	0.3505714616
164	0.8641593546	0.3500972889
165	0.8666451394	0.3498019777
166	0.8666451394	0.3495620412
167	0.8666451394	0.3493275677
168	0.8691200677	0.3486278904
169	0.8691200677	0.3481724426
170	0.8691200677	0.3475038845
171	0.8691200677	0.3473649852
172	0.8691200677	0.3467694799
173	0.8691200677	0.3461747785
174	0.8691200677	0.3459753723
175	0.8691200677	0.3458241257
176	0.8691200677	0.3456186617
177	0.8691200677	0.3454074618
178	0.8691200677	0.345173201
179	0.8691200677	0.3445566776
180	0.8691200677	0.3440772876
181	0.8691200677	0.3435969184
182	0.8691200677	0.3433343284
183	0.8691200677	0.3431761525
184	0.8691200677	0.3426533438
185	0.8691200677	0.3419845417
186	0.8691200677	0.3418132763
187	0.8691200677	0.341773217
188	0.8691200677	0.3417132468
189	0.8691200677	0.3414185453
190	0.8691200677	0.3411678341
191	0.8691200677	0.340844632
192	0.8691200677	0.340329786
193	0.8715842104	0.3400080437
194	0.8715842104	0.3396655254
195	0.8789126258	0.3393760707
196	0.8789126258	0.3392931455
197	0.8764804201	0.3387974903
198	0.8764804201	0.3384446286
199	0.8789126258	0.3379483917
200	0.8789126258	0.3379052574
201	0.8789126258	0.3377605868
202	0.8789126258	0.3373905073
203	0.8789126258	0.3372150282
204	0.8789126258	0.3366560381
205	0.8789126258	0.3363224988
206	0.8789126258	0.3356633244
207	0.8789126258	0.3354490611
208	0.8789126258	0.334893571
209	0.8789126258	0.3346747946
210	0.8789126258	0.3343374505
211	0.8789126258	0.3340447195
212	0.8789126258	0.3332093153
213	0.8789126258	0.3329516175
214	0.8789126258	0.3327215381
215	0.8789126258	0.3325828794
216	0.8789126258	0.3321010192
217	0.8789126258	0.3319565793
218	0.8789126258	0.3314851935
219	0.8789126258	0.3309878822
220	0.8813343238	0.3302549022
221	0.8813343238	0.3298351699
222	0.8813343238	0.329435004
223	0.8813343238	0.328767597
224	0.8813343238	0.3283985735
225	0.8813343238	0.3281130976
226	0.8813343238	0.3276102645
227	0.8813343238	0.3274092418
228	0.8813343238	0.3269741103
229	0.8813343238	0.3266368218
230	0.8813343238	0.3260349378
231	0.883745582	0.3256944116
232	0.8849338324	0.3255231493
233	0.883745582	0.3253816085
234	0.883745582	0.324876077
235	0.883745582	0.324732744
236	0.883745582	0.324421377
237	0.8849338324	0.3240774595
238	0.8849338324	0.3239489402
239	0.8849338324	0.3238495245
240	0.883745582	0.3233918304
241	0.883745582	0.3225124943
242	0.883745582	0.322101915
243	0.883745582	0.3218812323
244	0.883745582	0.3215547705
245	0.8849338324	0.321249098
246	0.8849338324	0.321129497
247	0.8849338324	0.3209448699
248	0.8849338324	0.3205057298
249	0.8849338324	0.3202262221
250	0.8849338324	0.3200577121
251	0.8861252825	0.3196086342
252	0.8861252825	0.3192728028
253	0.8825218954	0.3186059385
254	0.8825218954	0.3185161384
255	0.8837126717	0.318074487
256	0.8837126717	0.3177403917
257	0.8837126717	0.3176558242
258	0.8837126717	0.3171028329
259	0.8837126717	0.3169541008
260	0.8837126717	0.316635168
261	0.8837126717	0.3160488822
262	0.8837126717	0.3148700244
263	0.8837126717	0.3144886042
264	0.8837126717	0.3142166092
265	0.8837126717	0.3141571036
266	0.8837126717	0.3138098491
267	0.8837126717	0.3134680775
268	0.8837126717	0.3133622873
269	0.8837126717	0.3130790475
270	0.8861252825	0.3122115964
271	0.8861252825	0.3121344657
272	0.8861252825	0.3117724325
273	0.8861252825	0.3116185339
274	0.8861252825	0.3109868989
275	0.8861252825	0.3107643923
276	0.8861252825	0.3106946217
277	0.8861252825	0.3104080144
278	0.8873353801	0.3100845143
279	0.8873353801	0.3095089628
280	0.8873353801	0.3091865068
281	0.8873353801	0.3089636995
282	0.8873353801	0.308759869
283	0.8873353801	0.3084002911
284	0.8873353801	0.3083003696
285	0.8873353801	0.3080251216
286	0.8873353801	0.307591405
287	0.8873353801	0.3071707555
288	0.8873353801	0.3069276028
289	0.8873353801	0.306537145
290	0.8873353801	0.3062991943
291	0.8873353801	0.3057508753
292	0.8873353801	0.3052937499
293	0.8873353801	0.3049006774
294	0.8873353801	0.304761712
295	0.8873353801	0.3047516454
296	0.8873353801	0.3045119511
297	0.8873353801	0.3042614945
298	0.8873353801	0.3041660563
299	0.8873353801	0.3039226483
